scenario,filter_id,node_id,node_size,mean_introgressed_windows,mean_introgressed_fraction,mean_tract_count,mean_tract_length
two_pulses,3,cube5_cluster0,13,1935.923076923077,0.06453076923076922,30.0,63643.402077793595
two_pulses,3,cube6_cluster0,9,2142.777777777778,0.07142592592592593,29.666666666666668,71550.56883880253
two_pulses,3,cube7_cluster0,4,1785.25,0.05950833333333334,27.75,64171.77109456636
two_pulses,4,cube0_cluster0,9,1656.5555555555557,0.05521851851851852,26.11111111111111,63163.93463861809
two_pulses,4,cube1_cluster0,20,1880.95,0.06269833333333333,28.6,65368.51456284232
two_pulses,4,cube2_cluster0,32,2137.78125,0.071259375,30.71875,69103.86328422822
two_pulses,4,cube3_cluster0,30,2422.8333333333335,0.0807611111111111,31.633333333333333,76327.48698911742
two_pulses,4,cube4_cluster0,32,2679.46875,0.08931562500000001,33.25,80688.83932027913
two_pulses,4,cube5_cluster0,16,2867.4375,0.09558124999999999,32.6875,88315.547992638
two_pulses,4,cube6_cluster0,2,3176.5,0.10588333333333333,29.5,107011.84201388889
two_pulses,4,cube7_cluster0,3,3484.0,0.11613333333333332,33.333333333333336,103941.53137714327
two_pulses,5,cube0_cluster0,5,1887.6,0.06292,23.0,80867.5945887446
two_pulses,5,cube1_cluster0,9,2038.0,0.06793333333333333,25.0,80700.46846153846
two_pulses,5,cube2_cluster0,21,2052.714285714286,0.06842380952380953,27.952380952380953,72452.08427615077
two_pulses,5,cube3_cluster0,37,2272.5945945945946,0.07575315315315316,29.89189189189189,74803.60148184097
two_pulses,5,cube4_cluster0,43,2439.3255813953488,0.0813108527131783,32.23255813953488,74831.93638228241
two_pulses,5,cube5_cluster0,24,2474.8333333333335,0.08249444444444444,34.375,70901.44090696884
two_pulses,5,cube6_cluster0,15,2727.8,0.09092666666666667,37.266666666666666,72243.89129493867
two_pulses,5,cube7_cluster0,7,2693.285714285714,0.08977619047619047,38.857142857142854,68325.0848086445
two_pulses,6,cube0_cluster0,16,1909.8125,0.06366041666666666,31.5625,59403.33923598062
two_pulses,6,cube1_cluster0,35,2145.6285714285714,0.0715209523809524,32.34285714285714,65379.30227012314
two_pulses,6,cube2_cluster0,37,2392.837837837838,0.07976126126126126,32.32432432432432,73005.5926038869
two_pulses,6,cube3_cluster0,34,2509.5,0.08365,31.294117647058822,79248.09792119151
two_pulses,6,cube4_cluster0,15,2654.0666666666666,0.08846888888888889,30.6,85834.39215907511
two_pulses,6,cube5_cluster0,6,2816.8333333333335,0.09389444444444443,30.0,92746.66047028212
two_pulses,6,cube6_cluster0,2,3475.5,0.11585000000000001,34.5,99992.42609797297
