scenario,individual_id,introgressed_windows,introgressed_fraction,tract_count,mean_tract_length
one_pulse_desert,78,3717,0.1239,46,79847.23913043478
one_pulse_desert,79,4341,0.1447,56,76480.39285714286
one_pulse_desert,80,4447,0.14823333333333333,54,81424.22222222222
one_pulse_desert,81,4753,0.15843333333333334,57,82397.05263157895
one_pulse_desert,82,5646,0.1882,63,88677.14285714286
one_pulse_desert,83,4519,0.15063333333333334,52,85964.75
one_pulse_desert,84,4730,0.15766666666666668,50,93556.62
one_pulse_desert,85,3725,0.12416666666666666,51,72056.27450980392
one_pulse_desert,86,4360,0.14533333333333334,57,75534.59649122808
one_pulse_desert,87,4770,0.159,59,79872.22033898305
one_pulse_desert,88,3823,0.12743333333333334,55,68502.56363636363
one_pulse_desert,89,4421,0.14736666666666667,50,87416.28
one_pulse_desert,90,4806,0.1602,48,99161.0
one_pulse_desert,91,3952,0.13173333333333334,45,86770.42222222222
one_pulse_desert,92,4904,0.16346666666666668,55,88164.05454545455
one_pulse_desert,93,4601,0.15336666666666668,61,74423.65573770492
one_pulse_desert,94,4176,0.1392,48,85996.95833333333
one_pulse_desert,95,3982,0.13273333333333334,57,68869.1052631579
one_pulse_desert,96,4713,0.1571,58,80337.79310344828
one_pulse_desert,97,4501,0.15003333333333332,59,75286.0
one_pulse_desert,98,4448,0.14826666666666666,52,84527.07692307692
one_pulse_desert,99,4229,0.14096666666666666,60,69508.65
